Unilever Closing Prices,15 day Simple Moving Average,50 day simple moving average,10 day Momentum,MA Action,MOM Action
357.54,0,0,0,0,0
356.44,0,0,0,0,0
358.1,0,0,0,0,0
352.03,0,0,0,0,0
353.13,0,0,0,0,0
350.37,0,0,0,0,0
345.96,0,0,0,0,0
352.58,0,0,0,0,0
360.85,0,0,0,0,0
360.85,0,0,0,0,0
359.2,0,0,1.66,0,1
355.89,0,0,-0.55,0,2
352.03,0,0,-6.07,0,2
350.37,0,0,-1.66,0,2
348.16,0,0,-4.97,0,2
341.54,354.2333333,0,-8.83,0,2
352.58,353.1666667,0,6.62,0,1
352.58,352.9093333,0,0,0,0
354.79,352.5413333,0,-6.06,0,2
361.41,352.7253333,0,0.56,0,1
360.85,353.2773333,0,1.65,0,1
361.96,353.976,0,6.07,0,1
361.96,355.0426667,0,9.93,0,1
358.65,355.668,0,8.28,0,1
357.54,355.5213333,0,9.38,0,1
363.61,355.3006667,0,22.07,0,1
369.13,355.5946667,0,16.55,0,1
370.23,356.4773333,0,17.65,0,1
371.34,357.6906667,0,16.55,0,1
374.65,359.0886667,0,13.24,0,1
380.17,360.8546667,0,19.32,0,1
386.24,363.43,0,24.28,0,1
388.99,365.674,0,27.03,0,1
391.75,368.1013333,0,33.1,0,1
391.2,370.5653333,0,33.66,0,1
385.68,372.5513333,0,22.07,0,1
387.89,374.2066667,0,18.76,0,1
387.34,375.9353333,0,17.11,0,1
387.34,377.6273333,0,16,0,1
395.62,379.54,0,20.97,0,1
390.65,382.0786667,0,10.48,0,1
386.24,383.8813333,0,0,0,0
389.55,385.022,0,0.56,0,1
385.68,386.31,0,-6.07,0,2
388.99,387.266,0,-2.21,0,2
385.68,388.222,0,0,0,0
386.79,388.5893333,0,-1.1,0,2
386.79,388.626,0,-0.55,0,2
386.79,388.4793333,0,-0.55,0,2
395.62,388.1486667,0,0,0,0
395.06,388.4433333,369.8264,4.41,1,1
402.24,389.0686667,370.5768,16,1,1
402.24,390.0253333,371.4928,12.69,1,1
403.89,391.0186667,372.3756,18.21,1,1
403.89,392.122,373.4128,14.9,1,1
399.48,392.6733333,374.428,13.8,1,1
396.72,393.262,375.4102,9.93,1,1
387.34,393.9606667,376.4254,0.55,1,1
388.44,393.8133333,377.1206,1.65,1,1
381.27,393.9973333,377.6724,-14.35,1,2
382.93,393.4826667,378.0808,-12.13,1,2
377.41,393.2993333,378.5554,-24.83,1,2
371.34,392.674,378.9858,-30.9,1,2
367.48,391.644,379.372,-36.41,1,2
374.1,390.3566667,379.7142,-29.79,1,2
371.34,388.922,380.233,-28.14,1,2
374.1,387.3406667,380.829,-22.62,1,2
368.03,385.4646667,381.2594,-19.31,1,2
369.13,383.184,381.5684,-19.31,1,2
366.92,380.8666667,381.8552,-14.35,2,2
369.68,378.402,381.9654,-13.25,2,2
368.58,376.4153333,382.142,-8.83,2,2
368.58,374.5393333,382.2744,-2.76,2,2
368.03,373.2886667,382.4068,0.55,2,1
368.03,371.928,382.5944,-6.07,2,2
372.44,371.0453333,382.8042,1.1,2,1
371.89,370.346,382.9808,-2.21,2,2
371.34,369.978,383.036,3.31,2,1
365.82,369.978,383.0582,-3.31,2,2
363.61,369.8673333,382.9478,-3.31,2,2
365.82,369.168,382.727,-3.86,2,2
360.85,368.8,382.44,-7.73,2,2
359.2,367.9166667,381.9322,-9.38,2,2
358.1,367.328,381.3364,-9.93,2,2
355.89,366.5926667,380.6634,-12.14,2,2
357.54,365.8573333,379.9572,-14.9,2,2
361.41,365.048,379.3944,-10.48,2,2
356.99,364.57,378.8648,-14.35,2,2
350.92,363.7973333,378.2578,-14.9,2,2
347.61,362.6566667,377.5294,-16,2,2
347.61,361.2953333,376.5692,-18.21,2,2
341.54,359.64,375.7084,-19.31,2,2
344.85,357.6166667,374.8144,-14.35,2,2
347.61,355.8506667,373.9204,-10.49,2,2
346.51,354.6366667,373.159,-9.38,2,2
343.2,353.4966667,372.3094,-14.34,2,2
347.06,351.9886667,371.4598,-14.35,2,2
345.96,351.0693333,370.6652,-11.03,2,2
345.41,350.1866667,369.8486,-5.51,2,2
350.37,349.3406667,369.021,2.76,2,1
355.61,348.9726667,368.116,8,2,1
358.1,348.844,367.327,16.56,2,1
359.75,348.6233333,366.4442,14.9,2,1
363.06,348.8073333,365.5944,15.45,2,1
363.61,349.6166667,364.7778,17.1,2,1
366.37,350.6833333,363.9722,23.17,2,1
372.99,351.934,363.31,25.93,2,1
366.92,354.0306667,362.8354,20.96,2,1
365.82,355.502,362.427,20.41,2,1
366.92,356.716,361.9746,16.55,2,1
366.37,358.0766667,361.6876,10.76,2,1
366.92,359.6213333,361.3564,8.82,2,1
366.92,360.9453333,361.1466,7.17,2,1
364.72,362.3426667,361.0582,1.66,1,1
366.92,363.63,361.003,3.31,1,1
369.13,364.7333333,360.8594,2.76,1,1
365.27,365.6346667,360.8152,-7.72,1,2
363.61,366.1126667,360.6386,-3.31,1,2
365.27,366.37,360.5502,-0.55,1,2
361.41,366.5173333,360.473,-5.51,1,2
365.27,366.3706667,360.3628,-1.1,1,2
365.82,366.2973333,360.2746,-1.1,1,2
360.85,365.8193333,360.2194,-6.07,1,2
358.1,365.4146667,360.0648,-6.62,1,2
358.65,364.9,359.8662,-8.27,1,2
357.54,364.3486667,359.6786,-11.59,1,2
357.54,363.76,359.3806,-7.73,1,2
357.54,363.1346667,359.0936,-6.07,1,2
358.1,362.5093333,358.8176,-7.17,1,2
359.2,362.068,358.6632,-2.21,1,2
356.99,361.5533333,358.575,-8.28,1,2
354.79,360.744,358.3984,-11.03,1,2
344.85,360.0453333,358.2772,-16,1,2
345.96,358.7946667,357.9902,-12.14,1,2
340.44,357.5073333,357.7474,-18.21,2,2
341.54,356.1093333,357.4384,-16,2,2
339.34,354.5273333,357.1184,-18.2,2,2
339.89,352.762,356.677,-17.65,2,2
339.89,351.3646667,356.335,-18.21,2,2
344.85,350.1506667,356.1144,-14.35,2,2
349.82,349.2306667,356.0592,-7.17,2,2
353.68,348.716,356.1034,-1.11,2,2
353.68,348.4586667,356.3462,8.83,2,1
354.23,348.2013333,356.5228,8.27,2,1
351.75,347.9433333,356.6552,11.31,2,1
351.47,347.4466667,356.76,9.93,2,1
356.99,347.0786667,356.9254,17.65,2,1
368.03,347.2253333,357.124,28.14,2,1
368.03,348.7706667,357.5654,28.14,2,1
368.03,350.242,358.0178,23.18,2,1
375.75,352.0813333,358.371,25.93,2,1
372.44,354.362,358.7738,18.76,2,1
